Li2O,ZnO,TiO2,ZrO2,CaO,Nb2O5,Nb2O3,Al2O3,B2O3,Sb2O3,BaO,La2O3,SrO,SiO2,Na2O,PbO,Y2O3,K2O,ABBENUM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.69,0.0,51.25,0.0,7.05,33.7999992
1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,44.4,0.0,7.81,36.9000015
3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.66,0.0,35.9,0.0,8.74,40.7999992
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.68,0.0,25.09,0.0,9.93,45.9000015
9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.91,0.0,10.89,0.0,11.49,53.4000015
12.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.98,0.0,0.0,0.0,12.68,61.79999920000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.34,3.36,43.62,0.0,7.67,38.7999992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69,7.38,34.53,0.0,8.41,40.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.96,12.24,23.5,0.0,9.3,47.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.49,18.25,9.86,0.0,10.4,50.9000015
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.2,22.6,0.0,0.0,11.2,56.70000079999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.56,0.0,42.87,0.0,12.56,38.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.86,0.0,33.25,0.0,18.89,40.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.68,0.0,22.1,0.0,26.23,43.7000008
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.16,0.0,9.01,0.0,34.84,49.4000015
0.0,1.48,0.0,0.0,1.69,0.0,0.0,5.05,18.68,0.0,37.07,0.0,0.0,36.02,0.0,0.0,0.0,0.0,62.0
1.95,1.59,0.0,0.0,1.83,0.0,0.0,5.46,20.19,0.0,30.04,0.0,0.0,38.93,0.0,0.0,0.0,0.0,63.5164795
4.25,1.73,0.0,0.0,1.99,0.0,0.0,5.94,21.96,0.0,21.79,0.0,0.0,42.34,0.0,0.0,0.0,0.0,63.8202209
6.98,1.9,0.0,0.0,2.18,0.0,0.0,6.51,24.07,0.0,11.94,0.0,0.0,46.41,0.0,0.0,0.0,0.0,64.534874
10.3,2.1,0.0,0.0,2.42,0.0,0.0,7.2,26.63,0.0,0.0,0.0,0.0,51.35,0.0,0.0,0.0,0.0,65.3012085
0.0,1.56,0.0,0.0,1.79,0.0,0.0,5.35,19.77,0.0,29.43,0.0,0.0,38.13,3.96,0.0,0.0,0.0,62.2826042
0.0,1.66,0.0,0.0,1.91,0.0,0.0,5.68,21.0,0.0,20.83,0.0,0.0,40.5,8.42,0.0,0.0,0.0,61.99999620000001
0.0,1.77,0.0,0.0,2.03,0.0,0.0,6.06,22.39,0.0,11.11,0.0,0.0,43.18,13.47,0.0,0.0,0.0,62.1839104
0.0,1.89,0.0,0.0,2.18,0.0,0.0,6.49,23.98,0.0,0.0,0.0,0.0,46.24,19.23,0.0,0.0,0.0,62.49999620000001
0.0,1.53,0.0,0.0,1.76,0.0,0.0,5.24,19.38,0.0,28.83,0.0,0.0,37.36,0.0,0.0,0.0,5.9,62.555549600000006
0.0,1.59,0.0,0.0,1.83,0.0,0.0,5.44,20.12,0.0,19.96,0.0,0.0,38.8,0.0,0.0,0.0,12.26,62.4137917
0.0,1.65,0.0,0.0,1.9,0.0,0.0,5.66,20.93,0.0,10.38,0.0,0.0,40.35,0.0,0.0,0.0,19.13,63.0120468
0.0,1.72,0.0,0.0,1.98,0.0,0.0,5.9,21.8,0.0,0.0,0.0,0.0,42.03,0.0,0.0,0.0,26.57,62.8750038
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.37,0.0,0.0,0.0,0.0,78.51,10.12,0.0,0.0,0.0,66.13545989999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78,0.0,0.0,0.0,0.0,62.33,9.89,0.0,0.0,0.0,65.68364720000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.54,0.0,0.0,0.0,0.0,53.69,9.77,0.0,0.0,0.0,64.8395691
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.52,0.0,0.0,0.0,0.0,36.95,9.53,0.0,0.0,0.0,63.7681122
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.38,0.0,0.0,0.0,0.0,65.67,11.95,0.0,0.0,0.0,65.7963409
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.15,0.0,0.0,0.0,0.0,73.26,12.59,0.0,0.0,0.0,66.3185425
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,72.21,13.09,0.0,0.0,0.0,65.6370697
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,50.52,12.98,0.0,0.0,0.0,65.0649414
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.04,0.0,0.0,0.0,0.0,53.23,13.73,0.0,0.0,0.0,65.3401718
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,0.0,68.06,15.04,0.0,0.0,0.0,65.3992386
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.74,0.0,0.0,0.0,0.0,57.45,14.82,0.0,0.0,0.0,65.35532380000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.39,0.0,0.0,0.0,0.0,42.13,14.48,0.0,0.0,0.0,64.49552920000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.35,0.0,0.0,0.0,0.0,61.73,15.92,0.0,0.0,0.0,65.28302760000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,64.55,16.7,0.0,0.0,0.0,64.71322629999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.89,0.0,0.0,0.0,0.0,66.07,17.04,0.0,0.0,0.0,64.5080948
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.13,0.0,0.0,0.0,0.0,68.27,17.61,0.0,0.0,0.0,63.8613892
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.62,0.0,0.0,0.0,0.0,62.91,17.47,0.0,0.0,0.0,64.5601044
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.01,0.0,0.0,0.0,0.0,49.85,17.14,0.0,0.0,0.0,65.4911804
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0,0.0,0.0,70.48,18.18,0.0,0.0,0.0,62.89925770000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,74.96,19.33,0.0,0.0,0.0,61.26675030000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,59.84,18.92,0.0,0.0,0.0,64.17177579999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.32,0.0,0.0,0.0,0.0,57.8,19.87,0.0,0.0,0.0,64.0586853
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,55.77,20.83,0.0,0.0,0.0,63.9902725
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,52.74,22.26,0.0,0.0,0.0,63.95630260000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.53,0.0,0.0,0.0,0.0,51.74,22.73,0.0,0.0,0.0,63.6473351
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.59,0.0,0.0,0.0,0.0,49.73,23.68,0.0,0.0,0.0,63.3853531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.65,0.0,0.0,0.0,0.0,47.73,24.62,0.0,0.0,0.0,62.8571434
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.28,0.0,0.0,0.0,0.0,42.76,26.96,0.0,0.0,0.0,62.411346400000006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.88,0.0,0.0,0.0,0.0,37.84,29.28,0.0,0.0,0.0,61.75438689999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.29,0.0,0.0,0.0,0.0,31.41,32.3,0.0,0.0,0.0,60.8342934
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,74.58,0.0,0.0,0.0,14.62,67.6075287
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,71.53,0.0,0.0,0.0,16.37,66.8865356
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.28,0.0,0.0,0.0,0.0,68.76,0.0,0.0,0.0,17.97,66.9724808
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.67,0.0,0.0,0.0,0.0,63.12,0.0,0.0,0.0,21.21,66.6666718
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,0.0,0.0,59.39,0.0,0.0,0.0,23.35,67.01164250000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.72,0.0,0.0,0.0,0.0,58.31,0.0,0.0,0.0,23.97,66.7525787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99,0.0,0.0,0.0,0.0,57.67,0.0,0.0,0.0,24.34,66.5384674
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63,0.0,0.0,0.0,0.0,56.17,0.0,0.0,0.0,25.2,66.1146545
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35,0.0,0.0,0.0,0.0,54.48,0.0,0.0,0.0,26.17,65.73957060000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.11,0.0,0.0,0.0,0.0,50.32,0.0,0.0,0.0,28.56,65.8227844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98,0.0,0.0,0.0,0.0,48.28,0.0,0.0,0.0,29.74,65.3266296
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.41,0.0,0.0,0.0,0.0,47.27,0.0,0.0,0.0,30.32,64.794014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.84,0.0,0.0,0.0,0.0,46.27,0.0,0.0,0.0,30.9,65.20101170000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.68,0.0,0.0,0.0,0.0,44.28,0.0,0.0,0.0,32.04,65.20101170000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.56,0.0,0.0,0.0,0.0,37.51,0.0,0.0,0.0,35.93,63.66994860000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,0.0,0.0,0.0,0.0,47.87,0.0,0.0,0.0,37.46,61.8990402
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04,0.0,0.0,0.0,0.0,43.14,0.0,0.0,0.0,33.82,64.4720535
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,0.0,0.0,0.0,0.0,42.32,0.0,0.0,0.0,33.17,64.3478241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.46,0.0,0.0,0.0,0.0,39.58,0.0,0.0,0.0,30.96,66.0714264
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,0.0,0.0,0.0,59.02,0.0,0.0,0.0,30.84,63.4448547
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,58.32,0.0,0.0,0.0,30.43,64.125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.35,0.0,0.0,0.0,0.0,39.18,0.0,0.0,0.0,20.47,65.6618652
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,69.5,0.0,0.0,0.0,27.28,62.7672882
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0,0.0,0.0,68.11,0.0,0.0,0.0,26.7,63.5101051
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,67.17,0.0,0.0,0.0,26.4,63.39622120000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43,0.0,0.0,0.0,0.0,65.04,0.0,0.0,0.0,25.53,64.5939026
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,0.0,0.0,0.0,0.0,64.4,0.0,0.0,0.0,25.24,64.80304720000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,61.26,0.0,0.0,0.0,23.94,65.9846649
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.51,0.0,0.0,0.0,0.0,60.7,0.0,0.0,0.0,23.79,66.3239059
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,0.0,0.0,59.39,0.0,0.0,0.0,23.35,67.01164250000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.08,0.0,0.0,0.0,0.0,58.85,0.0,0.0,0.0,23.07,66.7525787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.31,0.0,0.0,0.0,0.0,57.92,0.0,0.0,0.0,22.77,66.96891020000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64,0.0,0.0,0.0,0.0,57.01,0.0,0.0,0.0,22.34,67.1875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0,0.0,55.91,0.0,0.0,0.0,21.91,67.0129929
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,0.0,0.0,0.0,0.0,54.71,0.0,0.0,0.0,21.48,66.8839645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,0.0,0.0,0.0,0.0,53.34,0.0,0.0,0.0,20.91,66.796875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.42,0.0,0.0,0.0,0.0,50.68,0.0,0.0,0.0,19.9,66.62286379999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.84,0.0,0.0,0.0,0.0,49.69,0.0,0.0,0.0,19.47,66.4031525
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,47.33,0.0,0.0,0.0,18.48,66.05020139999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,0.0,0.0,0.0,0.0,43.65,0.0,0.0,0.0,14.24,65.7220001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.99,0.0,0.0,0.0,0.0,35.21,0.0,0.0,0.0,13.8,63.86333079999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,68.58,0.0,0.0,0.0,18.92,66.884819
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76,0.0,0.0,0.0,0.0,67.61,0.0,0.0,0.0,18.62,67.1484985
