Li2O,ZnO,TiO2,ZrO2,CaO,Nb2O5,Nb2O3,Al2O3,B2O3,Sb2O3,BaO,La2O3,SrO,SiO2,Na2O,PbO,Y2O3,K2O,RI
2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49
4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51
0.0,0.0,16.64,0.0,11.68,0.0,0.0,21.23,0.0,0.0,0.0,0.0,0.0,37.54,12.91,0.0,0.0,0.0,1.6289999
0.0,0.0,14.79,0.0,10.38,0.0,0.0,18.87,0.0,0.0,0.0,0.0,0.0,44.49,11.47,0.0,0.0,0.0,1.61
0.0,0.0,13.31,0.0,9.34,0.0,0.0,16.98,0.0,0.0,0.0,0.0,0.0,50.04,10.33,0.0,0.0,0.0,1.59
0.0,0.0,12.1,0.0,8.49,0.0,0.0,15.44,0.0,0.0,0.0,0.0,0.0,54.58,9.39,0.0,0.0,0.0,1.5779999
0.0,0.0,11.09,0.0,7.78,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0,58.38,8.6,0.0,0.0,0.0,1.5650001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,68.74,11.82,0.0,0.0,0.0,1.489
0.0,0.0,8.2,0.0,5.75,0.0,0.0,15.53,0.0,0.0,0.0,0.0,0.0,61.08,9.44,0.0,0.0,0.0,1.5420001
0.0,0.0,10.72,0.0,7.52,0.0,0.0,14.33,0.0,0.0,0.0,0.0,0.0,58.72,8.71,0.0,0.0,0.0,1.5619999999999998
0.0,0.0,13.14,0.0,9.22,0.0,0.0,13.17,0.0,0.0,0.0,0.0,0.0,56.46,8.01,0.0,0.0,0.0,1.58
0.0,0.0,15.46,0.0,10.86,0.0,0.0,12.06,0.0,0.0,0.0,0.0,0.0,54.28,7.34,0.0,0.0,0.0,1.595
0.0,0.0,19.87,0.0,13.95,0.0,0.0,9.96,0.0,0.0,0.0,0.0,0.0,50.16,6.06,0.0,0.0,0.0,1.635
0.0,0.0,23.96,0.0,16.82,0.0,0.0,8.01,0.0,0.0,0.0,0.0,0.0,46.34,4.87,0.0,0.0,0.0,1.675
0.0,0.0,27.95,0.0,19.61,0.0,0.0,6.23,0.0,0.0,0.0,0.0,0.0,42.43,3.78,0.0,0.0,0.0,1.715
0.0,0.0,31.34,0.0,22.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,39.44,2.73,0.0,0.0,0.0,1.75
0.0,0.0,34.68,0.0,24.34,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,36.32,1.76,0.0,0.0,0.0,1.785
0.0,0.0,37.81,0.0,26.54,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,33.4,0.85,0.0,0.0,0.0,1.825
0.0,0.0,40.75,0.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.65,0.0,0.0,0.0,0.0,1.865
0.0,0.0,16.64,0.0,11.68,0.0,0.0,21.23,0.0,0.0,0.0,0.0,0.0,37.54,12.91,0.0,0.0,0.0,1.6289999
0.0,0.0,14.79,0.0,10.38,0.0,0.0,18.87,0.0,0.0,0.0,0.0,0.0,44.49,11.47,0.0,0.0,0.0,1.61
0.0,0.0,13.31,0.0,9.34,0.0,0.0,16.98,0.0,0.0,0.0,0.0,0.0,50.04,10.33,0.0,0.0,0.0,1.59
0.0,0.0,12.1,0.0,8.49,0.0,0.0,15.44,0.0,0.0,0.0,0.0,0.0,54.58,9.39,0.0,0.0,0.0,1.5779999
0.0,0.0,11.09,0.0,7.78,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0,58.38,8.6,0.0,0.0,0.0,1.5650001
0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.88,16.22,0.0,0.0,0.0,1.624
0.0,0.0,30.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.86,23.65,0.0,0.0,0.0,1.6780000000000002
0.0,0.0,39.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,30.69,0.0,0.0,0.0,1.73
0.0,0.0,15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.58,24.58,0.0,0.0,0.0,1.5819999999999999
0.0,0.0,13.61,0.0,0.0,0.0,0.0,7.11,0.0,0.0,0.0,0.0,0.0,58.16,21.12,0.0,0.0,0.0,1.575
0.0,0.0,12.18,0.0,0.0,0.0,0.0,11.66,0.0,0.0,0.0,0.0,0.0,57.26,18.9,0.0,0.0,0.0,1.5590000000000002
0.0,0.0,10.79,0.0,0.0,0.0,0.0,16.07,0.0,0.0,0.0,0.0,0.0,56.38,16.75,0.0,0.0,0.0,1.55
0.0,0.0,9.45,0.0,0.0,0.0,0.0,20.35,0.0,0.0,0.0,0.0,0.0,55.53,14.66,0.0,0.0,0.0,1.54
0.0,0.0,8.79,0.0,0.0,0.0,0.0,22.45,0.0,0.0,0.0,0.0,0.0,55.12,13.64,0.0,0.0,0.0,1.535
0.0,0.0,8.27,0.0,0.0,0.0,0.0,24.1,0.0,0.0,0.0,0.0,0.0,54.79,12.84,0.0,0.0,0.0,1.535
0.0,0.0,7.89,0.0,0.0,0.0,0.0,25.32,0.0,0.0,0.0,0.0,0.0,54.54,12.24,0.0,0.0,0.0,1.5369999
0.0,0.0,7.51,0.0,0.0,0.0,0.0,26.54,0.0,0.0,0.0,0.0,0.0,54.3,11.65,0.0,0.0,0.0,1.536
0.0,0.0,6.26,0.0,0.0,0.0,0.0,30.51,0.0,0.0,0.0,0.0,0.0,53.51,9.72,0.0,0.0,0.0,1.5390000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.45,0.0,0.0,0.0,0.0,0.0,49.55,0.0,0.0,0.0,0.0,1.548
0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75,24.39,0.0,0.0,0.0,1.6030000000000002
